Title,Rating,ReviewText
Uncharted,2,"A good cast and decent production is not enough to offset a poor script and a story that just cannot decide what it wants to be. Holland and Wahlberg are great together and their charm eases viewers into the film during its first act, but then turns into a kind of ""romancing the stone"" with Holland and Ali during the second act. Then Ali disappears and Wahlberg is back again for the implausible and unconvincing third act in which Holland is suddenly dodging bullets and outsmarting professional killers.  Meanwhile, Gabrielle and Banderas make for good antagonists but get little screen time. Ultimately a production let down by its creators who couldn't decide what kind of movie they wanted to make."
House of Gucci,4,"Good direction, good actors and very interesting story!"
House of Gucci,3.5,"Not the greatest Scott movie, but not disappointing. Good entertainment, excellent photography and art design. A beautiful reflection of the fashion world that the movie portrays. There is a kind of soap opera style in the narrative, sometimes even grotesque due to Jared Leto's performance, but I guess that was intentional and fits the story very well. Same as the combination of opera and pop music."
House of Gucci,3,"Despite it being nearly 3 hours long, Gaga's acting truly reeled me in and kept me watching. Eitherway, the movie was fine to have on in the background but I couldn't imagine being fully focused on it all the time. The story was interesting."
House of Gucci,4,"In this age of schlocky superhero movies ad nauseum, it's good to see an epic by a great director such as Ridley Scott. The entire cast was superb."
House of Gucci,2.5,This is really awful. Sorry. I wish I could compliment Gaga and Driver etc but it was just awful.
House of Gucci,5,Very good drama. Great acting.
House of Gucci,2,Unengaging.  Gaga's performance was forced and it shows.  Scott hasn't anything good for a long time.
House of Gucci,2.5,"I enjoyed the actors' performances, but frankly couldn't take the movie seriously. My #1 question is why they didn't use Italian actors. This fact alone made the whole movie too trite and made me lose interest. The character played by Jared Leto just made the whole movie farcical. The movie could have been much more engaging if done in the style of Wertmuller or De Sica."
House of Gucci,4,Much better than I thought it would be. Rather excellent and not infected with any Hollywood weird stuff. I understand some of the timelines are factually incorrect but overall it was thoroughly entertaining.
House of Gucci,4,"Lady Gaga and Adam Driver were quite good. The supporting cast was as well, especially Leto. I'm not sure I'd watch it numerous times, but I liked it overall."
Fantastic Beasts: The Secrets of Dumbledore,2,The characters all act completely different from previous movies. None of the movies in this trilogy feel connected at all
Fantastic Beasts: The Secrets of Dumbledore,2.5,Just overblown CGI nonsense.
Fantastic Beasts: The Secrets of Dumbledore,4.5,"I really enjoyed this movie. So much so I watched it twice in the cinema. I'm not usually one to be hyped up over a Harry Potter movie, but this one managed to catch my attention with it's acting, story and visuals. Would recommend for sure! Just watch the movie!"
Fantastic Beasts: The Secrets of Dumbledore,3.5,Keeping the same from the previous one
Fantastic Beasts: The Secrets of Dumbledore,2,"I was surprised how bad this movie was considering how much I enjoyed its predecessors and the abilities of most of the actors in it. Jessica Williams didn't seem as accomplished as the other main actors and that dragged it down some but generally I think the lines were just poorly written. The Dumbledore character is so far removed from the Harry Potter Dumbledore that I struggle to believe it's the same person. He says and does things that just don't fit the character, even considering his youth. The movie was slow and uneventful, lacking in energy and action. Even though it contained snippets of magic, it didn't seem very magical. Some plot points, like the illness Clarence was suffering from, weren't explained at all. There was no real build up and the obligatory final battle between good and evil was extremely lackluster and didn't make a lot of sense. Even the CG was bad. The first Fantastic Beasts movie was good and second was amazing. Maybe they thought that momentum would carry them through without needing to invest any actual energy but it definitely didn't. I was very disappointed."
Fantastic Beasts: The Secrets of Dumbledore,4,"I haven't really cared much for the prior Harry Potter and Fantastic Beasts films, but I really thought this one was great. Some of the characters really drew me in, and I found the plot, action, and world building way more interesting this time."
Fantastic Beasts: The Secrets of Dumbledore,1,"Killing and slaughtering, not one, but TWO beautiful creatures during the first twenty minutes spoiled the rest of the movie.  I understand that it was done to set the tone of the movie.  It could have been done differently.  The entire movie felt dark and foreboding.  I can't recall one scene which felt warm and fuzzy, like we'd gotten used to with some of the previous installments and and with the HP franchise.  The special effect were great, with more of the same and nothing new.  Felt like they tried very hard to make it feel like a Hollywood action blockbuster.  Explosions, chase scenes, explosions and more explosions.  Where was the magic and fantasy?  The political thriller undertones had no place in a movie that was supposed to to be about magic and fantasy.  If the fourth installment is anything like this one, then i can honestly say ' BORING, MOVING ON"
Fantastic Beasts: The Secrets of Dumbledore,4.5,"A welcome addition to the Fantastic Beasts franchise. With amazing visual tricks, spectacular beasts, and good humor, Jude Law pulls you into an adventure that looks phenomenal and keeps you entranced. The only noticeable fault is the absence of Johnny Depp, however, Mads Mikkelsen plays the role of Grindelwald in his own way and comes off as powerful and scary as the character is known for. All in all, a very fun film."
Fantastic Beasts: The Secrets of Dumbledore,4,I thought it was the best story line of the series.  Evil villain and corruption.  Closer to what you expect from the Harry Potter franchise.
The Outfit,4,"The play on words title is just the start of the fun. Gangland threats and shootings, mysterious pasts, betrayals and odd alliances in a setting more like a stage play than a movie. Our narrator/ protagonist shows off his stage background with poise and grace. Can there be too many plot twists? Me thinks not. Cleverly written, wonderfully staged and brilliantly executed. A well spent and satisfying whodunit."
The Outfit,2.5,"A well done single location, maybe due to covid, crime film. Was glad Dylan O'Brien wasn't around for long cause his Chicago accent was ruining things for me. A Few too many twists and inconsistencies."
The Outfit,4,A thinking person's movie.  More twists than a taylor's knot.  Artfully underplayed to perfection.  A who done it that keeps you guessing.
The Outfit,5,"I seen the trailer a few times and knew that it was gonna be such a good movie, and indeed it was. The plot was everything and I mean the suspense kept me on my toes. I would think one thing and it came out wrong. The ending was good and it wrapped up everything quite well. The characters were everything and actors and actresses did they job."
The Outfit,3,"Sort of like a play, i.e., talky and limited to one inside location, but it's at least a movie for adults for a change"
The Outfit,4,"All the makings of a great thriller, this is a clever, witty, and well-acted piece of film. An efficient and exciting story and cast make for a surprisingly solid experience."
The Outfit,5,"What happens when you mix Alfred Hitchcock's Rope with 1950's crime films: An amazing film called The Outfit. The Outfit tells the story of a tailor (or cutter) who make suits for gangster. The movie has amazing cast, particularly Mark Rylance, the cinematography, the score, the script and the unexpected twists. I have nothing but good things about this film. Overall, The Outfit kicks off 2022 with a bang."
The Outfit,5,2022 Oscar Best Actor = Mark Rylance!!
The Outfit,5,Stunning.. Classy.. good music score. You do have to pay attention to script as it moves so fast.. I could watch 50 more times.....
The Outfit,5,"Love this kind of crime movie where it shows you don't need much as long as you have a great story. Great directing, casting, acting, and writing overall!"
Eternals,4.5,Excellent movie and a magnificent adventure.
The Bad Guys,5,"The Bad Guys is an absolutely amazing movie. Clever Dialogue and character dynamics make for a wildly fun time. With enough twist and turns to keep movie goers of all ages entertained. A crisp animation style that is second only to Spiderman: Into the Spiderverse. The reason this movie continues to hold my intrigue is because, unlike so many other recent movies, it gets better the more I think about it. The best animated movie to come out this year."
The Bad Guys,4,"Between the inspired animated style under instant appeal and the cast charismatically adding into that entertainment value by solidly written, wholesome fulfillment with radiated fun energy stylishly expressing the hefty heart and laughable zanily comedy, this is a grateful delight in a renaissance embrace for Dreamworks attempting to reconnect their original roots whereas the older audience can also enjoy what an animated film truly has to offer. (B+)"
The Bad Guys,3,"Enjoyed the animation and the premise, good performances all around and a nice tidy story."
The Bad Guys,3,"Beautiful, unique animation. It has its fun, at times. However, predictable and sometimes charmless and unlikable."
The Bad Guys,4,"This movie is kind, sweet, and well made. Overall it has a good message about breaking from stereotypes and is a fun movie that all ages can enjoy!"
The Bad Guys,4,Rockwell leads a fantastic cast with beautiful animation. The story is fun and can be enjoyed by the whole family.
The Bad Guys,4.5,A great movie.  I laughed a lot while watching it.
The Bad Guys,3.5,Rating: B
The Bad Guys,4,"It may not be for All adults, but family oriented viewers and animation lovers will have a blast with its schemes and humor."
The Bad Guys,5,This. is. great. Entertaining story. Captivating visuals. Fun characters. YES!
The Rental,3.5,"Everything wrong becomes worst in the kitchen sink, it's was much fun... This will jinks you in your next Airbnb..."
The Rental,0.5,Forgettable caractères for a useless story. Really uncomfortable.
The Rental,2.5,"Not so scary and not so gory. Is a bit slow at first but ramps up a bit towards the end. Wished for more slashing at least, but didn't deliver on that front either even though there's the expected killing spree at the end."
The Rental,5,"Excellent movie that slowly builds the tension and then the film flips into a whole other movie on the last 30mins. This was an excellent film and how horror should be done. Reading a lot of the reviews I see the audience doesn't understand the concept. We're not supposed to sympathize with the Irish girl, she's a super sensitive woke, lying, cheater. The director's intent is addressing the racial tension that can happen inadvertently when you are in these situations."
The Rental,3.5,"Ironically, the character who were supposed to sympathize with for being ""discriminated against"" is the most toxic character in the entire film. It is however an excellent portrayal of reverse stereotypes, where the ""racist pervert white man"" was just a guy doing his job as people around him self-victimize and desperately try to cover their secrets.  Some nice twists though regardless, and the ending is unexpectedly satisfying."
The Rental,3,"The Rental was a good enough time. It starts off as a slow-burn thriller and works its way towards being a full-bore slasher in the end. None of the performances will blow your lid and the plot is definitely ripped from the headlines, but it is a worthwhile week night watch for a few cheap scares."
The Rental,0.5,"Feels like James Franco took superficial things from other horror movies and glued them onto a random anticlimactic plot. Like, it's found footage, about kids in a cabin in the woods, who accidentally kill a guy while on vacation, and when the killer appears, for some reason he's wearing a latex mask and invincible (like Michael Myers/Jason). There's also lots of iconic horror movie shots/scenes used, that don't make sense or go anywhere."
The Rental,2,"I couldn't make it more than 20 min. The ""everyone is racist and they are out to getcha"" trope is just becoming tiresome. Makes the movie seem like it's from a different dimension as 99.9% of people don't care about race."
The Rental,5,This movie was amazing and it really made me think of how creepy and weird people really are.
Avengers: Endgame,3.5,its good enough for me to watch it twice enjoyable just I didnt like the start or the middle that much finnal battle is a banger tho
Avengers: Endgame,5,"WOW! JUST WOW! Being a Marvel fan for all my life, this was just too satisfying to watch. Brilliantly made film with great CGI and an epic battle to finish this epic saga."
Avengers: Endgame,5,"Probably, in general, the greatest film of all time, everyone comes together for the final battle of Marvel's world-shattering Infinity Saga. It's not only everyone in the MCU, but also everyone in real life--audiences were blown away by the moments in this movie and the incredible emotional impact it left on its dedicated fans. It's a cinematic achievement that may never be achieved again, one that deserves to be learned about in history class."
Avengers: Endgame,5,"The build-up of the Marvel Cinematic Universe has all come down to this. The hype around this movie was well deserved as we got an amazing end to the Infinity Saga. Seeing character developments come to a perfect end, this movie hits all the rights notes in terms of battles, visual effects, emotions, jokes, and the fun that Marvel is known for. One of the best Marvel movies of all time and is sure to hold up for a long time. No doubt that Avengers: Endgame has assembled 5 stars"
Avengers: Endgame,4,My rating for the film is a 8.9/10
Avengers: Endgame,5,"Completamente impactante, un cierre excepcional para algunos personajes y un perfecto inicio para las próximas entregas."
Avengers: Endgame,4.5,"I think this movie came with many expectations, and i personally stay with this one of all the 20 something movies from the MCU; this movie has it ALL. Everytime i watch this movie, i feel marvel took it personal, and that is something big for me, like they did after with Spiderman: No way home."
Avengers: Endgame,5,"This movie is just the perfect ending to 10 years movie mega project. ""EPIC"" is the only word that can describe this movie"
Avengers: Endgame,5,very sad butt epic movie 
Avengers: Endgame,5,Best movie ever made. That was amazing. Oh my god that is my favorite movie of all time. Brought to tars a million times. The most epic movie ever 100000/10 you have to watch it. Cry every time
Shang-Chi and the Legend of the Ten Rings,5,I legit would do ANYTHING to see this shit
Shang-Chi and the Legend of the Ten Rings,3.5,Spoilers
Shang-Chi and the Legend of the Ten Rings,2,"CG are good, but the movie is really boring overall. In addition to that Mandarin is a really dumb villain for being a thousand years old."
Shang-Chi and the Legend of the Ten Rings,3.5,"Overall a solid movie, has good humor ,action and cast"
Shang-Chi and the Legend of the Ten Rings,5,"A must see indeed, but the last act feels really weird to watch, almost like it wasn't made with the rest of the movie. Everything else is 10/10 but the special effects of the last act are just lack-luster. Doesn't detract from the rating because everything else hits the nail, action, comedy, visuals. But that last bit, something was up."
Shang-Chi and the Legend of the Ten Rings,5,Great storyline. Such good acting that all the cast have delivered.
Shang-Chi and the Legend of the Ten Rings,5,"The first Asian-led MCU title is an incredible one. The superhero origin takes the original Marvel backstory formula, but adds more to make it incredibly interesting. It's an extremely entertaining ride, with incredible casting, creative settings, and stellar visual effects. Shang-Chi is sure to be the next great Marvel hero."
Shang-Chi and the Legend of the Ten Rings,0.5,This was just so unexpectedly BAD. OMG what is happening with MCU?
Shang-Chi and the Legend of the Ten Rings,5,Fantastic! One of the best MCU movies yet!
Shang-Chi and the Legend of the Ten Rings,4.5,A marvel movie done right. A very great origin story that is packed with action and humour. This movie is able to maintain the viewers interest throughout the whole time. The visual effects are insane and satisfying to watch. This movie has one of the best fight scenes in the mcu. Finally a great hero origin story.
The Father,5,"A fantastically realistic view into the mind of someone suffering from dementia. It invites the audience to experience the confusing and scary world of a slipping mind. The imperceptible set changes and outstanding performances only strengthen the audience's foray into the suffering of the afflicted, and their loved ones. Anthony Hopkins at his finest. Bravo!"
The Father,5,"An absolutely magnificent film that explores the last days of a man who is losing his way in the world. The people surrounding him are kind but, for him, interchangeable and often unrecognisable. A completely compelling performance by one of the 20th and 21st centuries' most talented actors. It was a privilege to see this movie."
The Father,5,"Poignant, unnerving, horrifically sad but probably the best film I've watched in a long time. Exceptionally well executed by all, not least the stellar cast. Not an easy watch but a must see none the less."
